Item No.,Class Code,Dept #,Description,Whs No.,quantity,Sold Qty,Adj. Qty,Receive Qty,End In Stock,Average Cost,Current Cost,Ext Amount
U300SL-RED,US,LIVING,2-PCS SOFA  & LOVESEAT SET/RED,DMG,,,,,1,424.1,424.1,424.11
U300SL-PUR,US,LIVING,2-PCS SOFA & LOVESEAT SET/PURPLE,DMG,,,,,1,400,400,400
F1902,23,*DISC*,Vol1.P155- COUNTER STOOL CREAM,HOU,,,,,2,30.4,30.4,60.8
F1903,23,*DISC*,Vol1.P183-|DINING CHAIR FOR F2597,SHOW,,,,,4,68,56,272
F2590,23,Dining,Vol1.P191-|DINING TABLE MW F1871/2/F6100/SILVER,SHOW,,,,,1,318.2,318.2,318.25
F2597,23,Dining,Vol1.P183-|DINING TABLE MW F1904/F6113,SHOW,,,,,1,340,340,340
F1904,23,Dining,Vol1.P182-|DINING CHAIR F2597,DMG,,,,,2,80.9,80.9,161.94
F5504,23,*DISC*,Vol1.P267-|CHEST,HOU,,,,,2,304,304,608
F9049F,23,*DISC*,Vol1.P202-|FULL BED MW F4238/F4254/WHITE,DMG,,,,,1,101.9,101.9,101.97
F2585,23,*DISC*,Vol1.P169- DINING TABLE ONLY MW F1859/F1858,HOU,,,,,3,154.2,154.2,462.6
F5496,23,Bedroom,Vol1.P265-|NIGHTSTAND MW F9611/F9312,DMG,,,,,1,79.8,79.8,79.81
F8827,23,*DISC*,Vol1.P47-|3-PC SECTIONAL,HOU,,,,,1,474.1,474.1,474.1
F9049T,23,Bedroom,Vol1.P202-|TWIN BED MW F4238/F4254 (WHITE),HOU,,,,,4,75,75,300.15
F9207T,23,*DISC*,Vol1.P202-|TWIN BED MW F4234/F4235/CHERRY,HOU,,,,,1,75,75,75.05
F9208T,23,*DISC*,Vol1.P202-|TWIN BED  MW F4236/F4237/BLACK,HOU,,,,,1,75,75,75.05
F9614Q,23,*DISC*,Vol1.P266-|QUEEN BED MW F5486,HOU,,,,,1,227,227,227.08
E8100Q,US,MATTRESS,"MEMORY FOAM QUEEN MATTRESS 10"" INCH",HOU,                   -,,,,-1,78,78,-78
E8080K,US,MATTRESS,MEMORY  FOAM KING SIZE MATTRESS 8' INCHES,HOU,                   -,,,,-1,141.9,141.9,-141.95
E8100T,US,MATTRESS,MEMORY FOAM TWIN MATTRESS 10' INCH,HOU,                   -,,,,-1,80,80,-80
89138,LILOLA,Sleeper,Haris Dark Gray Fabric Sleeper Sofa Sectional,SHOW,,,,,1,459,459,459
97005,LILOLA,ACCESSOR,DUSTY DARK OAK TV STAND (DARK),HOU,,,,,1,57,57,57
81340,LILOLA,Sleeper,Lucca Light Gray Linen Reversible,DMG,,,,,1,170,170,170
81340,LILOLA,Sleeper,Lucca Light Gray Linen Reversible,SHOW,,,,,1,170,170,170
98011,LILOLA,ACCESSOR,Washoak Coffee Table with 4 Stools,SHOW,,,,,1,199,199,199
98013,LILOLA,ACCESSOR,Rustic Wood Coffee Table with 4 Stools,HOU,                   -,,,,-2,199,199,-398
81380,LILOLA,Sleeper,Ashlyn Light Gray Reversible Sleeper Sectional Sofa,HOU,,,,,3,186.3,186.3,559.12
81380,LILOLA,Sleeper,Ashlyn Light Gray Reversible Sleeper Sectional Sofa,SHOW,,,,,1,186.3,186.3,186.37
81347,LILOLA,Sleeper,Lexi Black Leather Modern Reversible Sleeper Sectional Sofa,DMG,,,,,2,173,173,346
89331DG,LILOLA,Sleeper,Ivy Velvet Reversible Sleeper Sectional Sofa with Storage Ch,SHOW,,,,,1,178.4,178.4,178.46
81346,LILOLA,Sleeper,Lexi Gray Sleeper Sectional Sofa (3pkg),DMG,,,,,1,173,173,173
81346,LILOLA,Sleeper,Lexi Gray Sleeper Sectional Sofa (3pkg),HOU,1,,,,10,173,173,1730
81346,LILOLA,Sleeper,Lexi Gray Sleeper Sectional Sofa (3pkg),SHOW,,,,,1,173,173,173
M7826,MILTON,DINING,LOLA- BROWN TOP Counter height TABLE FOR M7749,HOU,,,,,6,110,110,660
M7826,MILTON,DINING,LOLA- BROWN TOP Counter height TABLE FOR M7749,SHOW,,,,,1,110,110,110
M7749,MILTON,DINING,LOLA- ESPRESSO Counter height Chair FOR M7826/60,DMG,                   -,,,,-6,0,0,
M7749,MILTON,DINING,LOLA- ESPRESSO Counter height Chair FOR M7826/60,HOU,5,,,,52,33.5,33.5,1742
M7749,MILTON,DINING,LOLA- ESPRESSO Counter height Chair FOR M7826/60,SHOW,,,,,6,33.5,33.5,201
M7809,MILTON,DINING,WILLOW- WALNUT 2-TONE Dining Table FOR M7709,HOU,,,,,9,46,46,414
M7809,MILTON,DINING,WILLOW- WALNUT 2-TONE Dining Table FOR M7709,SHOW,,,,,1,46,46,46
M7709,MILTON,DINING,WILLOW- TAUPE / WALNUT 2-TONE  Dining Chair FOR M7809,HOU,3,,,,36,20,20,720
M7709,MILTON,DINING,WILLOW- TAUPE / WALNUT 2-TONE  Dining Chair FOR M7809,SHOW,,,,,4,20,20,80
M7812-GR,MILTON,DINING,"SIMON- 35.5""x59"" GRAY Dining Table w/ MDF Top",HOU,,,,,5,78,78,390
M7712-GR,MILTON,DINING,SIMON- GRAY Dining Chair for M7812-gr,HOU,3,,,,32,28.5,28.5,912
M7727,MILTON,DINING,BRADY- IVORY & GRAY Two-Tone Dining Chair FOR M7827,HOU,,,,,4,27,27,108
M7505,MILTON,BEDROOM,BETTY- BLACK Twin/Twin Wooden Bunk Bed,SHOW,,,,,1,155,155,155
M7506,MILTON,BEDROOM,BETTY- WHITE Twin/Twin Wooden Bunk Bed,HOU,,,,,6,155,155,930
M7507,MILTON,BEDROOM,BETTY- GRAY Twin/Twin Wooden Bunk Bed,HOU,,,,,8,155,155,1240
M7520-QUEEN,MILTON,BEDROOM,NINA- BEIGE QUEEN Fabric Wing Back Platform Bed,SHOW,,,,,1,97,97,97
M7537-BK,MILTON,BEDROOM,LILAH- BLACK Twin/Full Metal Bunk Bed,HOU,,,,,5,149,149,745
M7537-WH,MILTON,BEDROOM,LILAH- WHITE Twin/Full Metal Bunk Bed,HOU,,,,,3,109,109,327
M7537-WH,MILTON,BEDROOM,LILAH- WHITE Twin/Full Metal Bunk Bed,SHOW,,,,,1,109,109,109
M7540-WH,MILTON,BEDROOM,LILAH- WHITE Twin/Twin Metal Bunk Bed,DMG,,,,,1,92,92,92
M8026-LOVE,MILTON,LIVING,DANTE- BROWN Manual Recliner + Rocking Loveseat w/ Console +,SHOW,,,,,1,323,323,323
M8026-RECL,MILTON,LIVING,DANTE- BROWN Manual Recliner + Rocking + Swivel Chair,HOU,,,,,1,195.3,195.3,195.33
M8026-SOFA,MILTON,LIVING,DANTE- BROWN Manual Recliner Sofa w/ Drop Down + USB + 2 Out,HOU,,,,,2,395,395,790
M8077-LOVE,MILTON,LIVING,NICO- BLUE GRAY Fabric Manual Reclining Love Seat sofa,HOU,,,,,1,216.7,216.7,216.75
M8077-LOVE,MILTON,LIVING,NICO- BLUE GRAY Fabric Manual Reclining Love Seat sofa,SHOW,,,,,1,216,216,216
M8085-RECL,MILTON,LIVING,HENRY- DARK BROWN Breathable Air Leather Manual Reclining Ch,HOU,,,,,3,175,168.3,525
M8085-SOFA,MILTON,LIVING,HENRY- DARK BROWN Breathable Air Leather Manual Reclining So,HOU,,,,,1,325,325,325
M8089-LOVE,MILTON,LIVING,HENRY- GRAY Breathable Air Leather POWER with USB Reclining,HOU,,,,,2,300,300,600
M8089-RECL,MILTON,LIVING,HENRY- GRAY Breathable Air Leather POWER with USB Reclining,HOU,,,,,3,195,188.6,585
M8101,MILTON,LIVING,CAM- BLUE GRAY Fabric Power Recliner Chair,HOU,,,,,3,149,149,447
M8103,MILTON,LIVING,CAM- TAN Fabric Power Recliner Chair,SHOW,,,,,1,134,134,134
M8182-LOVE,MILTON,LIVING,EMMA- BEIGE Fabric Plushy Cushion w/ Square Arm Loveseat & 2,HOU,,,,,5,198,198,990.45
M8182-SOFA,MILTON,LIVING,EMMA- BEIGE Fabric Plushy Cushion w/ Square Arm Sofa & 3 Thr,HOU,,,,,5,229,229,1145
M7808,MILTON,DINING,"ALEX- 36""X48"" BLACK FRAME Metal Dining Table w/ Wood Veneer",HOU,,,,,4,51,51,204
M7708,MILTON,DINING,ALEX- BLACK FRAME Metal Dining Chair FOR M7808,HOU,2,,,,24,23.5,23.5,564
M5010-QUEEN,MILTON,MATTRESS,"SERENITY- 10"" QUEEN Pocket Coil Mattress",SHOW,,,,,1,128,128,128
M7555-FULL,MILTON,BEDROOM,AVA- Full Metal Platform Bed w/ Black PU Headboard (Fully Sl,HOU,,,,,4,77.4,77.4,309.6
M7555-QUEEN,MILTON,BEDROOM,AVA- Queen Metal Platform Bed w/ Black PU Headboard,HOU,,,,,5,86.4,86.4,432.14
M7577-TWIN-BG,MILTON,BEDROOM,THEO- Twin Metal Platform Bed w/ Beige Linen Headboard (Full,HOU,,,,,1,61,61,61
M7577-TWIN-GR,MILTON,BEDROOM,THEO- Twin Metal Platform Bed w/ Gray Linen Headboard (Fully,HOU,,,,,8,69,69,552
M7582-FULL-WH,MILTON,BEDROOM,SEBASTIAN- WHITE Full Platform Bed,SHOW,,,,,1,88,88,88
M7588-ESP,MILTON,BEDROOM,NOAH- ESPRESSO Twin/Full Bunk Bed w/ Drawers,DMG,,,,,2,194,194,388
M7588-ESP,MILTON,BEDROOM,NOAH- ESPRESSO Twin/Full Bunk Bed w/ Drawers,HOU,,,,,1,199,199,199
M7707,MILTON,DINING,WILLOW- WALNUT Dining Chair w/ Fabric Cushion M7807,HOU,,,,,4,20,20,80
M7712-BR,MILTON,DINING,SIMON- BROWN Dining Chair FOR M7812,HOU,1,,,,14,25,25,350
M7807,MILTON,DINING,"WILLOW- 29.5"" x 47.25"" WALNUT Dining Table",HOU,,,,,1,59,59,59
M7812-BR,MILTON,DINING,SIMON- BROWN Dining Table  for M7712,HOU,,,,,4,74,74,296
M7860,MILTON,DINING,LOLA-GRAY TOP Faux Marble Counter Table FOR M7749,HOU,,,,,2,110,110,220
M8014-LOVE,MILTON,LIVING,RENZO- BLACK PU POWER USB Recliners Loveseat w/ Thick Stitch,HOU,,,,,2,343,343,686
M8014-LOVE,MILTON,LIVING,RENZO- BLACK PU POWER USB Recliners Loveseat w/ Thick Stitch,SHOW,,,,,1,343,343,343
M8014-RECL,MILTON,LIVING,RENZO- BLACK PU POWER USB Recliner Chair w/ Thick Stitching,HOU,,,,,4,184,184,736
M8080-LOVE,MILTON,LIVING,ELLIOT- BLUE GRAY Fabric POWER Reclining Love Seat,HOU,,,,,2,246,246,492
M8080-RECL,MILTON,LIVING,ELLIOT- BLUE GRAY Fabric POWER Reclining Chair,HOU,,,,,2,133,133,266
M8080-SOFA,MILTON,LIVING,ELLIOT- BLUE GRAY Fabric POWER Reclining Sofa,HOU,,,,,2,322,322,644
M8087-LOVE,MILTON,LIVING,HENRY- BLACK Breathable Air Leather POWER with USB Reclining,HOU,,,,,1,298,298,298
M8087-RECL,MILTON,LIVING,HENRY- BLACK Breathable Air Leather POWER with USB Reclining,HOU,,,,,2,180,180,360
M8087-SOFA,MILTON,LIVING,HENRY- BLACK Breathable Air Leather POWER with USB Reclining,HOU,,,,,2,327,327,654
M8188,MILTON,LIVING,AMOS- BROWN Breathable Air Leather Modular Manual Recliner S,HOU,,,,,1,633,633,633
M8189,MILTON,LIVING,AMOS- GRAY Breathable Air Leather Modular Manual Recliner Se,HOU,,,,,2,633,633,1266
M8193-LOVE,MILTON,LIVING,KNOX- DARK GRAY Breathable Air Leather Manual Reclining Love,HOU,,,,,2,223,223,446
M8193-RECL,MILTON,LIVING,KNOX- DARK GRAY Breathable Air Leather Manual Reclining Chai,HOU,,,,,2,161,161,322
M8193-SOFA,MILTON,LIVING,KNOX- DARK GRAY Breathable Air Leather Manual Reclining Sofa,HOU,,,,,2,283,283,566
30539-SET,LILOLA,DINING,Graham 3-Piece White Finish Small Space Counter Height Dinin,HOU,,,,,1,149,149,149
30539-SET,LILOLA,DINING,Graham 3-Piece White Finish Small Space Counter Height Dinin,SHOW,,,,,1,149,149,149
81360,LILOLA,LIVING,Hannah Gray Woven Convertible Armchair,DMG,,,,,1,119,119,119
81360,LILOLA,LIVING,Hannah Gray Woven Convertible Armchair,SHOW,,,,,1,119,119,119
87716,LILOLA,LIVING,"Briscoe Dark Gray Woven Fabric 102"" Wide Reversible Sectiona",DMG,,,,,1,299,299,299
81356,LILOLA,LIVING,Percy Beige Teddy Velvet Sleeper Loveseat with Side Pockets,SHOW,,,,,1,249,249,249
ZQUEEN-10HYBRID,ZINUS,MATTRESS,10in Hybrid Original Green Tea w/ ActivCharcol Memory Foam,DMG,,,,,1,150,150,150
M7537-RED,MILTON,BEDROOM,RED Twin/Full Metal Bunk Bed,HOU,                   -,,,,-1,109,109,-109
M6602,MILTON,ACCESSOR,Solid Color Manufactured Wood X-Side Panels Coffee Table/660,HOU,,,,,6,52.1,52.1,312.86
M6605,MILTON,ACCESSOR,Solid Color Manufactured Wood X-Side Panels End Table with B,HOU,,,,,6,40,40,240
M6603,MILTON,ACCESSOR,Solid Color Manufactured Wood X-Side Panels Coffee Table wit,HOU,,,,,7,45,45,315
M6606,MILTON,ACCESSOR,Solid Color Manufactured Wood X-Side Panels End Table with B,HOU,1,,,,12,35,35,420
M8079-REC,MILTON,LIVING,TAN Fabric Manual Reclining Chair,HOU,,,,,1,149,149,149
M7577-FULL-BG,MILTON,BEDROOM,Full Metal Platform Bed w/ Beige Linen Headboard (Fully Slat,HOU,,,,,3,82,82,246
M7577-QUEEN-BG,MILTON,BEDROOM,Queen Metal Platform Bed w/ Beige Linen Headboard,HOU,,,,,5,92,92,460
M7577-FULL-GR,MILTON,BEDROOM,Full Metal Platform Bed w/ Gray Linen Headboard (Fully Slate,HOU,,,,,2,82,82,164
M7577-QUEEN-GR,MILTON,BEDROOM,Queen Metal Platform Bed w/ Gray Linen Headboard (Slated),HOU,,,,,6,92,92,552
M7537-BL,MILTON,BEDROOM,BLUE Twin/Full Metal Bunk Bed,HOU,,,,,5,109,109,545
M7106,MILTON,BEDROOM,BLACK 4-Panels Room Divider w/ Window Shutter Style,HOU,,,,,2,58,58,116
M7108,MILTON,BEDROOM,NATURAL 4-Panels Room Divider w/ Window Shutter Style,HOU,,,,,1,58,58,58
M7112,MILTON,BEDROOM,NATURAL 4-Panels Arc Room Divider w/ Window Shutter Style,HOU,,,,,4,69,66.7,276
M7115,MILTON,BEDROOM,BLACK 4-Panels Room Divider w/ Shutter Style & Shelves,HOU,,,,,1,85,85,85
M2001,MILTON,LIVING,CLEO- 47 in. Length Faux Wood TV Stand,HOU,,,,,2,66,66,132
M2002,MILTON,LIVING,CLEO- 47 in. Length Faux Wood TV Stand,HOU,,,,,2,66,66,132
M2003,MILTON,LIVING,CLEO- 47 in. Length Faux Wood TV Stand,HOU,,,,,2,66,66,132
M2004,MILTON,LIVING,CLEO- 47 in. Length Faux Wood TV Stand,HOU,,,,,1,66,66,66
M2005,MILTON,LIVING,CLEO- 69 in. Faux Wood Book Shelves,HOU,,,,,3,90,84.3,270
3PL-FEE,,,3PL-FEE (3%),HOU,                   -,,,,-1,0,0,
M2006,MILTON,LIVING,CLEO- 69 in. Faux Wood Book Shelves,HOU,,,,,2,73,73,146
M2007,MILTON,LIVING,CLEO- 69 in.  Faux Wood Book Shelves,HOU,,,,,4,90,90,360
M2008,MILTON,LIVING,CLEO- 69 in.  Faux Wood Book Shelves,HOU,,,,,3,90,84.3,270
M2010,MILTON,LIVING,JESSA- 71 in. Length Faux Wood TV Stand,HOU,,,,,3,90,90,270
M2012,MILTON,LIVING,JESSA- 75 in.  Faux Wood Book Shelves,HOU,,,,,2,100,100,200
M2013,MILTON,LIVING,JESSA- 75 in.  Faux Wood Book Shelves,HOU,,,,,1,100,100,100
M2014,MILTON,LIVING,JESSA- 75 in. Faux Wood Book Shelves,HOU,,,,,2,100,100,200
